#{"t_start": 1627294149.254651, "env_id": null}
r,l,t
-1.03,4,1.526427
-1,1,1.528438
-1.01,2,1.531099
-1.06,7,1.540877
-1,1,1.542965
-1,1,1.545127
-1.02,3,1.550944
-1.03,4,1.558609
-1.05,6,1.565695
-1.03,4,1.57075
-1.01,2,1.574469
-1.07,8,1.582414
-1.08,9,1.591689
-1.02,3,1.595038
-1.04,5,1.60108
-1.14,15,1.619781
-1.01,2,1.624007
-1,1,1.626295
-1.04,5,1.632601
-1.04,5,1.638234
-1.03,4,1.642378
-1.04,5,1.648338
-1,1,1.650561
-1.07,8,1.658132
-1.03,4,1.663584
-1,1,1.66576
-1.03,4,1.669931
-1.01,2,1.673181
-1,1,1.675504
-1.01,2,1.678532
-1.05,6,1.685669
-1,1,1.687385
-1.12,13,1.700451
-1,1,1.702385
-1.06,7,1.709697
-1.04,5,1.716642
-1.01,2,1.719162
-1.04,5,1.725225
-1.01,2,1.728097
-1.03,4,1.732406
-1.02,3,1.737284
-1.04,5,1.744549
-1.12,13,1.757447
-1,1,1.759764
-1.02,3,1.765135
-1.03,4,1.770868
-1.03,4,1.779432
-1,1,1.781318
-1,1,1.783546
-1.03,4,1.790535
-1,1,1.792603
-1.02,3,1.797043
-1.04,5,1.80622
-1.04,5,1.813666
-1,1,1.815801
-1.01,2,1.818761
-1.05,6,1.826323
-1.09,10,1.838979
-1.04,5,1.846052
-1.03,4,1.852604
-1.06,7,1.861551
-1.08,9,1.870548
-1.04,5,1.877952
-1.03,4,1.883831
-1,1,1.885812
-1.01,2,1.888629
-1.01,2,1.891638
-1.02,3,1.896081
-1.02,3,1.899566
-1.01,2,1.902475
-1.03,4,1.909542
-1,1,1.911679
-1.01,2,1.914408
-1.03,4,1.920052
-1.03,4,1.924298
-1.1,11,1.935914
-1,1,1.938114
-1.02,3,1.944176
-1.09,10,1.957838
-1.02,3,1.962528
-1.04,5,1.968813
-1.04,5,1.975408
-1.03,4,1.982385
-1.04,5,1.989093
-1,1,1.991412
-1.03,4,1.999134
-1.1,11,2.013142
-1.03,4,2.019016
-1.02,3,2.023747
-1,1,2.025728
-1.03,4,2.032681
-1.07,8,2.039793
-1.02,3,2.043123
-1.01,2,2.047457
-1,1,2.049715
-1.01,2,2.053862
-1.01,2,2.05847
-1.03,4,2.064634
-1.06,7,2.071611
-1.12,13,2.086683
-1.04,5,2.091648
-1.05,6,2.099818
-1.02,3,2.103686
-1,1,2.105913
-1.03,4,2.109832
-1.02,3,2.11338
-1.02,3,2.116653
-1.01,2,2.119958
-1.01,2,2.122861
-1.01,2,2.126919
-1,1,2.128849
-1.01,2,2.131693
-1,1,2.133974
-1,1,2.136095
-1,1,2.138344
-1.02,3,2.143282
-1.06,7,2.153137
-1.02,3,2.157151
-1,1,2.159081
-1.01,2,2.162103
-1.01,2,2.165057
-1.02,3,2.169774
-1,1,2.171896
-1.05,6,2.18001
-1.01,2,2.183125
-1,1,2.185541
-1.1,11,2.201041
-1.01,2,2.203715
-1.13,14,2.218351
-1.04,5,2.225282
-1.02,3,2.229151
-1,1,2.23109
-1.03,4,2.235487
-1.05,6,2.245296
-1,1,2.247468
-1.02,3,2.25114
-1.01,2,2.255483
-1.08,9,2.264506
-1.04,5,2.270284
-1.01,2,2.272896
-1,1,2.27497
-1.01,2,2.278009
-1.02,3,2.282295
-1.04,5,2.287204
-1.02,3,2.293497
-1.28,29,2.319851
-1.04,5,2.325377
-1.01,2,2.329558
-1.06,7,2.336082
-1.05,6,2.344562
-1.06,7,2.35225
-1,1,2.353957
-1.06,7,2.363654
-1.05,6,2.370426
-1.04,5,2.376315
-1.03,4,2.381514
-1.07,8,2.393553
-1.03,4,2.399237
-1.01,2,2.402064
-1.07,8,2.411691
-1.06,7,2.420666
-1,1,2.421883
-1.05,6,2.430517
-1.01,2,2.434294
-1.02,3,2.43939
-1,1,2.441361
-1,1,2.443553
-1.03,4,2.452248
-1.07,8,2.463738
-1.01,2,2.46651
-1,1,2.468826
-1.01,2,2.47174
-1,1,2.473991
-1.02,3,2.479949
-1.02,3,2.483871
-1.03,4,2.489926
-1.12,13,2.502463
-1.01,2,2.506538
-1.02,3,2.510129
-1.04,5,2.514976
-1,1,2.516825
-1.04,5,2.522692
-1.03,4,2.529935
-1,1,2.531661
-1.08,9,2.543047
-1,1,2.54482
-1.1,11,2.561953
-1.01,2,2.564795
-1,1,2.566922
-1.02,3,2.571736
-1,1,2.573772
-1.03,4,2.579302
-1.03,4,2.585976
-1.04,5,2.591907
-1.03,4,2.597019
-1.01,2,2.600035
-1.04,5,2.606082
-1,1,2.608482
-1,1,2.610554
-1.17,18,2.632223
-1.01,2,2.634922
-1,1,2.636844
-1.02,3,2.64127
-1.04,5,2.6473
-1.01,2,2.650192
-1.01,2,2.653101
-1,1,2.655606
-1,1,2.657624
-1.07,8,2.664872
-1.01,2,2.667944
-1,1,2.669977
-1.03,4,2.675839
-1.02,3,2.679659
-1,1,2.681688
-1.01,2,2.68584
-1.04,5,2.692163
-1.03,4,2.697375
-1,1,2.699541
-1.01,2,2.702369
-1,1,2.704395
-1.09,10,2.715236
-1.02,3,2.719825
-1.15,16,2.734149
-1.01,2,2.737217
-1.02,3,2.74368
-1.03,4,2.75138
-1.01,2,2.754141
-1.06,7,2.764959
-1.02,3,2.768302
-1.03,4,2.77382
-1.01,2,2.776551
-1.1,11,3.524336
-1,1,3.526471
-1.03,4,3.533657
-1,1,3.535951
-1.01,2,3.540108
-1.02,3,3.544214
-1.07,8,3.553559
-1.02,3,3.558119
-1.02,3,3.561982
-1.08,9,3.574412
-1.05,6,3.579682
-1.07,8,3.588727
-1.09,10,3.599738
-1.02,3,3.603314
-1.04,5,3.608456
-1,1,3.610593
-1.06,7,3.617862
-1.02,3,3.621362
-1.02,3,3.625889
-1.01,2,3.62941
-1.04,5,3.635851
-1.02,3,3.64074
-1.09,10,3.652677
-1,1,3.654766
-1.01,2,3.657558
-1.01,2,3.660482
-1,1,3.66284
-1.02,3,3.66627
-1.02,3,3.671174
-1.1,11,3.684037
-1.14,15,3.700267
-1.18,19,3.718787
-1.04,5,3.728215
-1.17,18,3.744647
-1.01,2,3.747178
-1.06,7,3.756935
-1,1,3.759143
-1.03,4,3.764161
-1.04,5,3.769922
-1.03,4,3.774091
-1.02,3,3.777635
-1.05,6,3.784492
-1.02,3,3.789025
-1.01,2,3.793348
-1.04,5,3.800435
-1.02,3,3.804902
-1.03,4,3.80918
-1.03,4,3.815995
-1.04,5,3.821497
-1,1,3.823688
-1.05,6,3.83067
-1.06,7,3.837809
-1.06,7,3.848067
-1.08,9,3.857852
-1,1,3.859791
-1.05,6,3.866526
-1.01,2,3.869265
-1,1,3.871243
-1,1,3.873251
-1.07,8,3.883463
-1.14,15,3.898507
-1,1,3.900395
-1.02,3,3.90489
-1.15,16,3.923857
-1.01,2,3.926673
-1.04,5,3.933949
-1.13,14,3.953584
-1.01,2,3.957223
-1.01,2,3.96096
-1.02,3,3.96579
-1.07,8,3.976661
-1,1,3.978951
-1,1,3.981346
-1,1,3.983503
-1.06,7,3.991859
-1,1,3.993994
-1.04,5,3.998697
-1.01,2,4.001872
-1,1,4.004035
-1.04,5,4.010179
-1.24,25,4.03065
-1.05,6,4.038985
-1.01,2,4.043134
-1.21,22,4.062893
-1.05,6,4.072225
-1.02,3,4.075589
-1.25,26,4.097225
-1.13,14,4.110919
-1.02,3,4.114523
-1,1,4.117109
-1.17,18,4.136948
-1.15,16,4.156606
-1.05,6,4.163534
-1.05,6,4.170202
-1.04,5,4.175061
-1.08,9,4.18683
-1.07,8,4.196827
-1.02,3,4.200453
-1.07,8,4.209443
-1.01,2,4.21355
-1.11,12,4.226313
-1.08,9,4.237619
-1.03,4,4.242008
-1.07,8,4.250526
-1.11,12,4.270851
-1.01,2,4.274044
-1.02,3,4.278998
-1.11,12,4.294702
-1.03,4,4.301018
-1.02,3,4.304306
-1,1,4.30657
-1,1,4.308885
-1.04,5,4.313437
-1.05,6,4.31936
-1.07,8,4.326876
-1.02,3,4.33062
-1.06,7,4.338535
-1.02,3,4.342994
-1.05,6,4.350781
-1,1,4.352651
-1.02,3,4.359296
-1.04,5,4.365081
-1,1,4.367222
-1.09,10,4.380357
-1,1,4.382561
-1,1,4.384842
-1.04,5,4.392653
-1.01,2,4.395463
-1,1,4.397343
-1.02,3,4.400976
-1.15,16,4.41776
-1,1,4.419503
-1,1,4.421362
-1.16,17,4.435178
-1.02,3,4.438421
-1.03,4,4.443875
-1,1,4.445992
-1.09,10,4.457786
-1.03,4,4.461888
-1.08,9,4.474598
-1.03,4,4.478816
-1.04,5,4.485057
-1.03,4,4.490659
-1.03,4,4.495935
-1.01,2,4.498631
-1.05,6,4.505629
-1.06,7,4.515198
-1.08,9,4.525897
-1.01,2,4.528518
-1.01,2,4.531226
-1.01,2,4.533923
-1.01,2,4.536284
-1.01,2,4.540332
-1.06,7,4.54858
-1.01,2,4.551205
-1.02,3,4.554576
-1.07,8,4.562297
-1.03,4,4.566784
-1,1,4.56834
-1.03,4,4.572573
-1,1,4.574747
-1.06,7,4.585063
-1.02,3,4.588321
-1,1,4.590587
-1.1,11,4.60002
-1,1,4.601874
-1.06,7,4.609387
-1.29,30,4.636914
-1.07,8,4.644352
-1.01,2,4.647325
-1.03,4,4.652808
-1.02,3,4.657451
-1,1,4.659681
-1.07,8,4.671598
-1,1,4.673784
-1.01,2,4.676491
-1.01,2,4.680501
-1.05,6,4.689546
-1.02,3,4.694184
-1,1,4.695971
-1.07,8,4.702937
-1.05,6,4.709475
-1.02,3,4.713649
-1,1,4.71569
-1.07,8,4.725478
-1.08,9,4.736439
-1.01,2,4.7406
-1,1,4.742725
-1.03,4,4.748501
-1.02,3,4.753459
-1.02,3,4.757202
-1.05,6,4.765679
-1.12,13,4.78114
-1.11,12,4.796462
-1.01,2,4.800331
