#{"t_start": 1627293962.9208677, "env_id": null}
r,l,t
-1.06,7,0.020898
-1.06,7,0.031753
-1.01,2,0.035226
-1.02,3,0.039356
-1,1,0.041823
-1.02,3,0.04672
-1,1,0.049021
-1.06,7,0.05939
-1,1,0.061108
-1.03,4,0.066775
-1,1,0.068917
-1,1,0.071343
-1.01,2,0.076189
-1,1,0.077955
-1.04,5,0.084542
-1.06,7,0.094101
-1.01,2,0.096886
-1.03,4,0.101879
-1.02,3,0.106956
-1.05,6,0.114326
-1,1,0.116419
-1,1,0.118354
-1.01,2,0.121223
-1.01,2,0.124257
-1,1,0.126432
-1.01,2,0.129153
-1.01,2,0.132497
-1.01,2,0.136133
-1,1,0.138364
-1.04,5,0.143219
-1.01,2,0.145929
-1.01,2,0.149906
-1.12,13,0.16263
-1.09,10,0.172099
-1.01,2,0.175281
-1,1,0.177113
-1.04,5,0.186061
-1,1,0.188028
-1.02,3,0.192706
-1.02,3,0.19645
-1.04,5,0.204598
-1.04,5,0.212159
-1.07,8,0.221403
-1.06,7,0.229412
-1.03,4,0.235052
-1.02,3,0.239569
-1.06,7,0.245899
-1.03,4,0.251555
-1.02,3,0.255248
-1,1,0.257219
-1,1,0.259116
-1.02,3,0.265121
-1.06,7,0.27196
-1.03,4,0.276197
-1.01,2,0.278953
-1.08,9,0.288323
-1.01,2,0.291032
-1.06,7,0.29994
-1.1,11,0.309671
-1.01,2,0.312416
-1.02,3,0.316713
-1.01,2,0.320322
-1.01,2,0.323582
-1.1,11,0.337467
-1.08,9,0.3462
-1.04,5,0.353202
-1.01,2,0.356148
-1.04,5,0.364307
-1.03,4,0.370626
-1.04,5,0.375718
-1,1,0.377937
-1,1,0.380195
-1.03,4,0.385728
-1.02,3,0.392206
-1.05,6,0.40222
-1,1,0.404324
-1,1,0.406427
-1.03,4,0.412682
-1.03,4,0.419208
-1,1,0.421211
-1.04,5,0.428846
-1,1,0.430625
-1,1,0.43292
-1,1,0.434869
-1.15,16,0.449924
-1.02,3,0.45411
-1,1,0.456073
-1.1,11,0.470332
-1.02,3,0.473805
-1.03,4,0.479477
-1,1,0.481384
-1.02,3,0.486059
-1.08,9,0.499047
-1.03,4,0.503184
-1.01,2,0.506311
-1.03,4,0.511561
-1.07,8,0.519629
-1,1,0.521677
-1.01,2,0.524431
-1.01,2,0.527489
-1.05,6,0.535844
-1.02,3,0.540731
-1.04,5,0.545846
-1.01,2,0.548853
-1,1,0.550711
-1,1,0.552573
-1.01,2,0.555099
-1,1,0.557064
-1,1,0.559091
-1.02,3,0.562294
-1.02,3,0.56745
-1.05,6,0.576061
-1,1,0.578116
-1,1,0.580217
-1,1,0.5822
-1.06,7,0.589439
-1,1,0.591464
-1.07,8,0.59913
-1,1,0.601292
-1.02,3,0.604797
-1.02,3,0.608201
-1.03,4,0.612267
-1.09,10,0.623066
-1.05,6,0.630953
-1.01,2,0.633867
-1.01,2,0.636634
-1.02,3,0.64086
-1.04,5,0.647365
-1,1,0.649726
-1,1,0.651974
-1,1,0.654006
-1.13,14,0.669161
-1.01,2,0.673246
-1.1,11,0.685704
-1,1,0.688074
-1,1,0.690341
-1,1,0.692653
-1.01,2,0.696449
-1.05,6,0.703872
-1,1,0.705933
-1.01,2,0.70899
-1.03,4,0.715779
-1,1,0.718202
-1.12,13,0.733949
-1.02,3,0.737679
-1.01,2,0.742449
-1.03,4,0.750564
-1.06,7,0.759789
-1.13,14,0.776379
-1,1,0.778874
-1,1,0.781584
-1.05,6,0.790925
-1.09,10,0.80187
-1.03,4,0.811296
-1.02,3,0.815112
-1.03,4,0.822687
-1.02,3,0.827487
-1.03,4,0.835004
-1.03,4,0.840499
-1,1,0.842138
-1,1,0.843889
-1,1,0.845783
-1,1,0.847924
-1,1,0.850128
-1.04,5,0.857058
-1.03,4,0.863515
-1.02,3,0.868256
-1.04,5,0.876279
-1,1,0.878192
-1.01,2,0.881103
-1.01,2,0.884162
-1.08,9,0.900946
-1.03,4,0.907658
-1,1,0.909998
-1.15,16,0.93183
-1.09,10,0.943831
-1.01,2,0.947233
-1,1,0.949141
-1.05,6,0.957486
-1.09,10,0.973281
-1,1,0.976149
-1.05,6,0.985873
-1,1,0.989194
-1.05,6,1.003927
-1.07,8,1.031977
-1.02,3,1.03951
-1.07,8,1.050385
-1.03,4,1.055572
-1.02,3,1.059464
-1.02,3,1.063117
-1.13,14,1.083799
-1.12,13,1.103721
-1.03,4,1.109152
-1.07,8,1.121592
