width,distance,time
0.92,2.45,0.24
0.92,4.28,0.353333333
0.92,7.5,0.476666667
0.52,2.45,0.396666667
0.52,4.28,0.523333333
0.52,7.5,0.693333333
0.3,2.45,0.613333333
0.3,4.28,0.756666667
0.3,7.5,0.95
