width,distance,time
1.22,2.45,0.270096463
1.22,4.28,0.382636656
0.7,2.45,0.482315113
1.22,7.5,0.54340836
0.7,4.28,0.655948553
0.4,2.45,0.903536978
0.7,7.5,0.797427653
0.4,4.28,1.083601286
0.4,7.5,1.356913183
