#{"t_start": 1627293613.616617, "env_id": null}
r,l,t
-1.01,2,0.015774
-1.03,4,0.020586
-1,1,0.022961
-1.02,3,0.029104
-1,1,0.031735
-1.01,2,0.035183
-1.03,4,0.041176
-1.04,5,0.051189
-1,1,0.053034
-1.01,2,0.056118
-1.1,11,0.064528
-1.12,13,0.078573
-1,1,0.080935
-1,1,0.083023
-1.02,3,0.086759
-1.04,5,0.094051
-1,1,0.096102
-1.06,7,0.104895
-1.01,2,0.108066
-1.16,17,0.127259
-1.05,6,0.134204
-1.01,2,0.138721
-1.01,2,0.14155
-1.03,4,0.146296
-1.01,2,0.149031
-1.01,2,0.153468
-1.02,3,0.157085
-1.02,3,0.163146
-1,1,0.165325
-1.05,6,0.172073
-1,1,0.174465
-1.03,4,0.18058
-1.01,2,0.184316
-1,1,0.186476
-1,1,0.188933
-1.02,3,0.192493
-1.05,6,0.199205
-1.02,3,0.203327
-1.01,2,0.206103
-1,1,0.208283
-1.03,4,0.212855
-1,1,0.215096
-1.01,2,0.219347
-1,1,0.221437
-1,1,0.223012
-1.01,2,0.226533
-1.01,2,0.231116
-1.01,2,0.233892
-1.01,2,0.236505
-1.08,9,0.248874
-1,1,0.251084
-1,1,0.252909
-1.02,3,0.256191
-1.03,4,0.260378
-1.01,2,0.263303
-1.02,3,0.268414
-1,1,0.27021
-1.02,3,0.275479
-1,1,0.277444
-1.01,2,0.281819
-1,1,0.283992
-1,1,0.286284
-1.01,2,0.290819
-1.08,9,0.301385
-1,1,0.303719
-1,1,0.305631
-1,1,0.30745
-1.1,11,0.32342
-1.01,2,0.326359
-1,1,0.328384
-1.02,3,0.333641
-1.01,2,0.337493
-1.04,5,0.343504
-1,1,0.345514
-1.09,10,0.357325
-1.01,2,0.35983
-1.02,3,0.364674
-1,1,0.36682
-1.03,4,0.371456
-1,1,0.373614
-1.13,14,0.390371
-1.02,3,0.395271
-1.01,2,0.39825
-1.01,2,0.40099
-1.01,2,0.404118
-1.02,3,0.408768
-1.05,6,0.418426
-1,1,0.420577
-1,1,0.422597
-1.05,6,0.427943
-1.02,3,0.432416
-1.04,5,0.439048
-1.02,3,0.443537
-1,1,0.445436
-1.07,8,0.455503
-1,1,0.457967
-1.01,2,0.460988
-1.07,8,0.468239
-1,1,0.470263
-1.04,5,0.475023
-1.05,6,0.483278
-1.04,5,0.490603
-1.05,6,0.498919
-1.02,3,0.502255
-1.02,3,0.507538
-1.02,3,0.51246
-1.1,11,0.528114
-1.01,2,0.531168
-1.05,6,0.539185
-1.04,5,0.545743
-1.01,2,0.549067
-1.03,4,0.559101
-1,1,0.561238
-1,1,0.563402
-1.02,3,0.567377
-1,1,0.569976
-1.05,6,0.578548
-1.02,3,0.583626
-1.01,2,0.586733
-1.15,16,0.60516
-1.05,6,0.612185
-1,1,0.61417
-1.06,7,0.622115
-1.02,3,0.626038
-1.02,3,0.629486
-1,1,0.631645
-1.01,2,0.635042
-1.15,16,0.655535
-1.05,6,0.662688
-1.02,3,0.66762
-1.01,2,0.670696
-1.01,2,0.673628
-1,1,0.67586
-1.02,3,0.680658
-1,1,0.682879
-1.01,2,0.687308
-1.02,3,0.692326
-1.04,5,0.700733
-1,1,0.702773
-1.06,7,0.714241
-1.03,4,0.719958
-1.01,2,0.722753
-1,1,0.725098
-1.03,4,0.732285
-1.03,4,0.73688
-1.07,8,0.745362
-1.01,2,0.748564
-1.05,6,0.756744
-1.05,6,0.763355
-1.07,8,0.773165
-1.03,4,0.777206
-1,1,0.779083
-1.1,11,0.791839
-1.03,4,0.797201
-1,1,0.799292
-1,1,0.801768
-1,1,0.803995
-1.04,5,0.811298
-1.02,3,0.815635
-1.01,2,0.818482
-1,1,0.820698
-1.05,6,0.826285
-1,1,0.828785
-1.03,4,0.834375
-1,1,0.835927
-1.03,4,0.842913
-1.08,9,0.853989
-1,1,0.856106
-1,1,0.858301
-1.11,12,0.873093
-1.05,6,0.88145
-1,1,0.883536
-1.03,4,0.890567
-1,1,0.89268
-1.05,6,0.900502
-1,1,0.902457
-1.01,2,0.906626
-1,1,0.908717
-1.02,3,0.91367
-1.02,3,0.917283
-1,1,0.919378
-1.06,7,0.925244
-1.01,2,0.927989
-1.06,7,0.93526
-1,1,0.93746
-1.08,9,0.948293
-1.07,8,0.959618
-1.01,2,0.96244
-1.05,6,0.967968
-1.01,2,0.972307
-1.01,2,0.975354
-1.04,5,0.983464
-1.02,3,0.988703
-1,1,0.990656
-1.02,3,0.994066
-1.01,2,0.996904
-1.02,3,1.001201
-1.01,2,1.005429
-1.05,6,1.013443
-1.02,3,1.01759
-1,1,1.019516
-1.02,3,1.024116
-1.1,11,1.03325
-1.03,4,1.040561
-1.08,9,1.051949
-1.02,3,1.05687
-1.01,2,1.059551
-1.03,4,1.065129
-1.08,9,1.078156
-1.01,2,1.080876
-1.01,2,1.083919
-1.01,2,1.086704
-1.01,2,1.08925
-1.02,3,1.095197
-1.01,2,1.099113
-1,1,1.101469
-0.28,29,1.124536
-1.06,7,1.132888
-1,1,1.134836
-1,1,1.137027
-1.01,2,1.141054
-1,1,1.143114
-1.03,4,1.148459
-1.01,2,1.151075
-1.02,3,1.154733
-1.12,13,1.170667
-1.03,4,1.17502
-1.01,2,1.179205
-1.01,2,1.182873
-1,1,1.1845
-1.04,5,1.191497
-1.08,9,1.203317
-1,1,1.205334
-1.03,4,1.211529
-1.01,2,1.215488
-1,1,1.217933
-1.15,16,1.238819
-1,1,1.241018
-1.01,2,1.243728
-1,1,1.245979
