#{"t_start": 1627293613.616617, "env_id": null}
r,l,t
-1,1,1.248395
-1.01,2,1.251131
-1,1,1.253452
-1.02,3,1.257235
-1.04,5,1.26337
-1.01,2,1.267138
-1.02,3,1.271473
-1.02,3,1.275348
-1,1,1.277339
-1,1,1.279421
-1.02,3,1.283656
-1.07,8,1.292314
-1.01,2,1.295264
-1.03,4,1.302603
-1.09,10,1.319606
-1,1,1.321724
-1.04,5,1.32863
-1,1,1.330895
-1,1,1.333034
-1.01,2,1.337165
-1,1,1.33926
-1,1,1.341288
-1.05,6,1.349293
-1.01,2,1.351874
-1.01,2,1.354738
-1.09,10,1.365835
-1.06,7,1.376326
-1.03,4,1.382762
-1.03,4,1.386975
-1,1,1.388954
-1.03,4,1.394727
-1.01,2,1.398588
-1,1,1.400663
-1.09,10,1.411195
-1.04,5,1.417871
-1,1,1.420278
-1.04,5,1.430146
-1,1,1.432196
-1,1,1.43436
-1.02,3,1.43925
-1.02,3,1.444362
-1.12,13,1.459834
-1.1,11,1.472062
-1.03,4,1.477402
-1,1,1.479688
-1.04,5,1.485953
-1,1,1.488224
-1.01,2,1.491361
-1.05,6,1.49933
-1.08,9,1.507693
-1.2,21,1.528949
-1,1,1.531036
-1,1,1.533035
-1,1,1.535173
-1.05,6,1.544939
-1.06,7,1.554815
-1.03,4,1.560016
-1.04,5,1.567406
-1.01,2,1.570555
-1.1,11,1.585502
-1,1,1.587711
-1.02,3,1.591335
-1.04,5,1.599734
-1.03,4,1.605678
-1.01,2,1.608437
-1,1,1.61085
-1.07,8,1.621246
-1.02,3,1.626584
-1,1,1.628726
-1.06,7,1.637959
-1.01,2,1.641309
-1.01,2,1.644424
-1.05,6,1.653844
-1,1,1.655823
-1,1,1.658111
-1.01,2,1.661299
-1.03,4,1.665421
-1,1,1.667726
-1.01,2,1.670516
-1.02,3,1.673919
-1.09,10,1.687944
-1,1,1.690412
-1.03,4,1.696224
-1.01,2,1.700757
-1.05,6,1.706449
-1.01,2,1.71071
-1.05,6,1.718
-1,1,1.720281
-1.01,2,1.723477
-1.02,3,1.727944
-1,1,1.730286
-1.07,8,1.739649
-1.04,5,1.745997
-1.06,7,1.753445
-1.02,3,1.758552
-1.02,3,1.762177
-1.02,3,1.765777
-1.02,3,1.771211
-1,1,1.773357
-1,1,1.775519
-1.02,3,1.780278
-1,1,1.782567
-1.05,6,1.78971
-1.05,6,1.796846
-1,1,1.798916
-1.01,2,1.802814
-1,1,1.805056
-1.04,5,1.81133
-1.01,2,1.815789
-1,1,1.817934
-1,1,1.820255
-1,1,1.822292
-1.07,8,1.833135
-1.01,2,1.835799
-1.08,9,1.847058
-1.11,12,1.860635
-1.02,3,1.863946
-1,1,1.865621
-1.02,3,1.868873
-1.04,5,1.877548
-1,1,1.879334
-1.11,12,1.894509
-1.02,3,1.900547
-1.08,9,1.911475
-1.03,4,1.916889
-1.01,2,1.919669
-1.04,5,1.927651
-1.03,4,1.934119
-1.08,9,1.943243
-1.05,6,1.951665
-1,1,1.954007
-1,1,1.955924
-1.01,2,1.959053
-1.02,3,1.962686
-1.01,2,1.965183
-1.01,2,1.968143
-1.02,3,1.971968
-1,1,1.973937
-1.03,4,1.9782
-1.01,2,1.982894
-1.05,6,1.989991
-1.03,4,1.995438
-1,1,1.997651
-1,1,1.999813
-1,1,2.001977
-1.04,5,2.008245
-1.02,3,2.013191
-1.04,5,2.019174
-1.05,6,2.026298
-1.01,2,2.030528
-1.02,3,2.035368
-1.04,5,2.040577
-1.07,8,2.049993
-1.03,4,2.056154
-1.06,7,2.065981
-1.02,3,2.071202
-1.05,6,2.078552
-1.02,3,2.083287
-1.03,4,2.087433
-1.01,2,2.090536
-1.01,2,2.093303
-1,1,2.095644
-1,1,2.09812
-1.02,3,2.102956
-1.04,5,2.107915
-1.06,7,2.118127
-1,1,2.12025
-1.02,3,2.123945
-1.03,4,2.13226
-1.02,3,2.135897
-1.02,3,2.13937
-1,1,2.140992
-1,1,2.142897
-1,1,2.145212
-1.02,3,2.148947
-1,1,2.151356
-1,1,2.153683
-1.05,6,2.159703
-1.04,5,2.167146
-1.01,2,2.170497
-1,1,2.17246
-1,1,2.174747
-1,1,2.177054
-1.06,7,2.185895
-1.08,9,2.195275
-1,1,2.197523
-1,1,2.199389
-1.07,8,2.207855
-1,1,2.210202
-1.06,7,2.218167
-1.01,2,2.222303
-1.06,7,2.233058
-1.02,3,2.238545
-1.01,2,2.241963
-1.03,4,2.247463
-1.07,8,2.258466
-1,1,2.260708
-1,1,2.262752
-1.02,3,2.266765
-1.04,5,2.274181
-1.03,4,2.279006
-1.04,5,2.287161
-1.07,8,2.297355
-1.03,4,2.302769
-1.09,10,2.313753
-1.05,6,2.323764
-1.01,2,2.32705
-1.01,2,2.331127
-1,1,2.333458
-1.01,2,2.336689
-1.08,9,2.346467
-1.11,12,2.365948
-1,1,2.368121
-1.01,2,2.371299
-1.03,4,2.376776
-1.01,2,2.380546
-1,1,2.382648
-1,1,2.384811
-1,1,2.387076
-1.01,2,2.389795
-1.01,2,2.392958
-1.01,2,2.396112
-1,1,2.398358
-1.05,6,2.406214
-1,1,2.408511
-1.07,8,2.421102
-1.11,12,2.432173
-1.02,3,2.437192
-0.17,18,2.455571
-1.01,2,2.458277
-1,1,2.460574
-1,1,2.462671
-1.04,5,2.470233
-1.01,2,2.473589
-1.02,3,2.478726
-1.01,2,2.481786
-1.08,9,2.489491
-1,1,2.491462
-1,1,2.493645
-1.02,3,2.498112
-1.1,11,2.50911
-1.01,2,2.512754
-1.01,2,2.515811
-1.06,7,2.524481
-1.08,9,2.534202
-1.01,2,2.5374
-1.05,6,2.543346
-1.07,8,2.554499
-1,1,2.556385
-1.02,3,2.560154
-1.01,2,2.563213
-1.01,2,2.567653
-1.01,2,2.57082
-1.01,2,2.573658
-1.01,2,2.578291
-1,1,2.580463
-1.04,5,2.586608
-1,1,2.588786
-1.08,9,2.601639
-1.03,4,2.605445
-1.01,2,2.609573
-1.04,5,2.61629
-1.04,5,2.622288
-1.05,6,2.629596
-1.07,8,2.639009
-1,1,2.641146
-1.06,7,2.649799
-1,1,2.652042
-1.07,8,2.663429
-1.07,8,2.675516
-1.11,12,2.69312
-1.09,10,2.7039
-1,1,2.706095
-1.02,3,2.711771
-1.06,7,2.719378
-1.03,4,2.726277
-1.01,2,2.729542
-1,1,2.731289
-1,1,2.733444
-1.03,4,2.73918
-1.03,4,2.746207
-1,1,2.748347
-1.01,2,2.751103
-1.01,2,2.754384
-1.01,2,2.757014
-1.01,2,2.75956
-1.01,2,2.763623
-1.05,6,2.771749
-1,1,2.773953
-1.02,3,2.779145
-1.09,10,2.789439
-1,1,2.791791
-1.03,4,2.797176
-1.08,9,2.808498
-1,1,2.810459
-1.01,2,2.813427
-1,1,2.815328
-1.01,2,2.818572
-1,1,2.820939
-1,1,2.823163
-1.06,7,2.83347
-1.03,4,2.838792
-1,1,2.841113
-1,1,2.843016
-1.04,5,2.848911
-1.01,2,2.853304
-1.02,3,2.858354
-1.02,3,2.864612
-1,1,2.866912
-1.05,6,2.876151
-1.01,2,2.87939
-1.05,6,3.630043
-1.02,3,3.633649
-1.06,7,3.639423
-1.05,6,3.648326
-1.01,2,3.651335
-1.01,2,3.654151
-1,1,3.656145
-1.04,5,3.662318
-1,1,3.664531
-1,1,3.666599
-1.18,19,3.689713
-1.02,3,3.69583
-1.1,11,3.709224
-1.04,5,3.715497
-1.08,9,3.727443
-1.06,7,3.7381
-1.03,4,3.743735
-1,1,3.745772
-1.02,3,3.749155
-1.12,13,3.762352
-1.02,3,3.766827
-1.01,2,3.769714
-1.02,3,3.773402
-1.01,2,3.776184
-1.01,2,3.778941
-1.01,2,3.782715
-1.02,3,3.788197
-1.11,12,3.798801
-1.06,7,3.806919
-1.04,5,3.813107
-1.03,4,3.817513
-1.03,4,3.821997
-1.02,3,3.82577
-1.07,8,3.837511
-1,1,3.83958
-1.06,7,3.845695
-1.02,3,3.850577
-1.07,8,3.861106
-1.04,5,3.867768
-1.04,5,3.872609
-1,1,3.874822
-1.05,6,3.880433
-1.01,2,3.883643
-1.08,9,3.89624
-1.01,2,3.899237
-1,1,3.901429
-1.02,3,3.906144
-1.01,2,3.909032
-1.03,4,3.913391
-1.2,21,3.940533
-0.19,20,3.959367
-1.09,10,3.969239
-1.1,11,3.983763
-1.08,9,3.999388
-1.02,3,4.00396
-1.06,7,4.009933
-1.09,10,4.022033
-1.01,2,4.025972
-1.01,2,4.028596
-1.01,2,4.031637
-1,1,4.033679
-1.03,4,4.038039
-1.1,11,4.050216
-1.11,12,4.061709
-1.1,11,4.073193
-1.04,5,4.078062
-1.02,3,4.082708
-1.02,3,4.086374
-1,1,4.08834
-1.06,7,4.096917
-1.07,8,4.108822
-1.01,2,4.11139
-0.23,24,4.134557
-1,1,4.136866
-1.03,4,4.141032
-1.16,17,4.162801
-1.17,18,4.18019
-1.18,19,4.200043
-1,1,4.20174
-1.11,12,4.213026
-0.31,32,4.247416
-1.05,6,4.253588
-1.05,6,4.260639
-1.01,2,4.263365
-1.09,10,4.276213
-1.05,6,4.282556
-1.04,5,4.290384
-1.05,6,4.297506
-1.05,6,4.306171
-1.02,3,4.309579
-1.04,5,4.319201
-1.07,8,4.329654
-1.03,4,4.334232
-1.03,4,4.338613
-1,1,4.340865
-1,1,4.343251
-1.02,3,4.34673
-1,1,4.348779
-1.01,2,4.351798
-1.1,11,4.363034
-1.04,5,4.367529
-1.06,7,4.373909
-1.01,2,4.37634
-1.01,2,4.379063
-0.23,24,4.399639
-1.03,4,4.404869
-1.05,6,4.413278
-1.01,2,4.416383
-1.12,13,4.432151
-1,1,4.434265
-1.01,2,4.437353
-0.21,22,4.458435
-1.12,13,4.4763
-1.17,18,4.49433
-0.21,22,4.512425
-0.22,23,4.535784
-1.04,5,4.540796
-1.01,2,4.543927
-1.04,5,4.548546
-1.01,2,4.551911
-1,1,4.55426
-1.15,16,4.579376
-1.01,2,4.582534
-1,1,4.584978
-1.03,4,4.589224
-1.01,2,4.592091
-1.07,8,4.599718
-1,1,4.601878
-1,1,4.604062
-1,1,4.606333
-1.01,2,4.609216
-1.23,24,4.628283
-1.09,10,4.636963
-1.05,6,4.642123
-1.14,15,4.658324
-1.12,13,4.672184
-1,1,4.674243
-1.08,9,4.683932
-1.09,10,4.698735
-1.01,2,4.701431
-1,1,4.703475
-1.04,5,4.708775
-1.08,9,4.717911
-1.03,4,4.722129
-1.08,9,4.732142
-1.13,14,4.746764
-1.05,6,4.754643
-1.14,15,4.774533
-1,1,4.776592
-1.03,4,4.780978
-1.04,5,4.787451
-1,1,4.789697
-1,1,4.791927
-1,1,4.793828
-1.06,7,4.801318
-1.01,2,4.804199
-1.04,5,4.809095
-1.02,3,4.813961
-1.16,17,4.830154
-1.04,5,4.836261
-1.01,2,4.839059
-1.01,2,4.841954
-1.01,2,4.844848
-1.1,11,4.862782
-1,1,4.864304
-1.21,22,4.88841
-1.04,5,4.897127
-1.01,2,4.899799
-1.01,2,4.902904
-1.07,8,4.911971
-1.03,4,4.918056
-1.14,15,4.930245
-1.1,11,4.940312
-1.04,5,4.949741
-1.03,4,4.953891
-1.13,14,4.968248
-1,1,4.970096
-1.08,9,4.979197
-0.31,32,5.00545
-1.18,19,5.025316
-1.07,8,5.035244
-1.02,3,5.03882
-1.15,16,5.055673
-0.29,30,5.086976
-1.03,4,5.091338
-1.03,4,5.096028
-1.01,2,5.098879
-1.14,15,5.117774
-1.11,12,5.131249
-1.02,3,5.135016
-1.01,2,5.138001
-1.13,14,5.151477
-0.25,26,5.172848
-1.02,3,5.176739
-1.06,7,5.188555
-1.04,5,5.194754
-1,1,5.196923
-1.01,2,5.199984
-1,1,5.202461
-1,1,5.204337
-1,1,5.20633
-0.36,37,5.238326
-1.09,10,5.2502
-1.03,4,5.255963
-1.02,3,5.259498
-1,1,5.261951
-0.19,20,5.281865
-1.01,2,5.284969
-1.12,13,5.296966
-1,1,5.299161
-1.02,3,5.304156
-1.06,7,5.310482
-0.4,41,5.34413
-1.04,5,5.351676
-1,1,5.35358
-1,1,5.355479
-1.05,6,5.362134
-1.04,5,5.368321
-1,1,5.3702
-1.07,8,5.378393
-1,1,5.379529
-1.01,2,5.382292
-1,1,5.384222
-1.05,6,5.393134
-1.05,6,5.402664
-1.01,2,5.405421
-1.16,17,5.423719
-1.06,7,5.434085
-1.11,12,5.448498
-1.06,7,5.455153
-1.02,3,5.458755
-1.07,8,5.466666
-1.04,5,5.471504
-1.05,6,5.478298
-1.18,19,5.493115
-0.31,32,5.521772
-1,1,5.523698
-1.01,2,5.526459
-1.21,22,5.554518
-1.04,5,5.5591
-0.4,41,5.601488
-1.01,2,5.604905
-1.01,2,5.609413
-1,1,5.611781
-1.01,2,5.614597
-1.05,6,5.621762
-1.03,4,5.627496
-0.27,28,5.653266
-1,1,5.655636
-1.04,5,5.66428
-1.03,4,5.670902
-1.04,5,5.677955
-1.1,11,5.691789
-1.02,3,5.695425
-1.01,2,5.69795
-1,1,5.700249
-1.03,4,5.707774
-1.13,14,5.723821
-1.01,2,5.726856
-1.02,3,5.731062
-1,1,5.733203
-1.01,2,5.736
-1.15,16,5.752367
-1.02,3,5.756113
-1.03,4,5.760447
-1.08,9,5.772421
-1.02,3,5.775951
-1.03,4,5.781667
-1,1,5.783833
-1.02,3,5.787519
-1.02,3,5.79261
-0.21,22,5.812222
-1.04,5,5.820218
-1.06,7,5.826635
-1,1,5.828746
-1.01,2,5.831933
-1,1,5.834169
-1.08,9,5.845963
-1.03,4,5.85151
-1.06,7,5.8576
-1,1,5.859894
-1.03,4,5.864841
-1.09,10,5.876454
-1.08,9,5.887023
-1.08,9,5.898032
-1.1,11,5.909369
-1.01,2,5.913606
-1.04,5,5.918576
-1.02,3,5.922345
-1.06,7,5.929954
-1.02,3,5.933378
-1,1,5.935522
-1,1,5.937745
-1.02,3,5.941573
-1.08,9,5.950343
-1,1,5.952679
-1.06,7,5.959997
-1.01,2,5.962915
-1,1,5.965095
-1.01,2,5.967924
-1.14,15,6.712957
-1,1,6.715237
-1,1,6.717432
-1.01,2,6.720156
-0.18,19,6.739091
-1.12,13,6.754538
-1.06,7,6.765767
-0.24,25,6.788399
-1,1,6.790828
-1.08,9,6.801912
-1.01,2,6.804733
-1,1,6.806895
-1.07,8,6.816314
-1.13,14,6.833868
-1.05,6,6.841177
-1.08,9,6.851707
-1.3,31,6.880341
-0.32,33,6.90684
-1.03,4,6.912116
-1.02,3,6.915849
-1,1,6.918204
-1.09,10,6.928377
-1,1,6.930708
-0.19,20,6.948997
-0.25,26,6.968821
-1.05,6,6.977225
-1.12,13,6.993169
-1.22,23,7.027362
-1.09,10,7.037192
-0.31,32,7.065539
-1.18,19,7.087108
-1.09,10,7.097899
-1.03,4,7.102308
-1.01,2,7.105614
-1.03,4,7.112074
-1,1,7.114342
-1.11,12,7.12917
-0.24,25,7.149871
-1,1,7.151693
-1.07,8,7.159273
-1.01,2,7.162319
-1,1,7.16453
-1.04,5,7.17367
-1.15,16,7.190117
-1,1,7.192175
-1.12,13,7.206354
-0.26,27,7.230923
-1.12,13,7.24592
-0.33,34,7.274057
-0.21,22,7.298183
-1,1,7.300352
-1.01,2,7.304499
-1.05,6,7.309816
-1,1,7.311744
-1.18,19,7.329405
-1,1,7.331309
-0.14,15,7.34374
-1.16,17,7.357965
-1.02,3,7.36154
-1.12,13,7.373664
-1,1,7.375922
-1,1,7.378139
-1.16,17,7.39168
-0.2,21,7.412047
-0.43,44,7.450113
-1,1,7.452244
-0.26,27,7.47716
-1.02,3,7.480712
-1.14,15,7.496326
-1.03,4,7.501641
-1.01,2,7.504663
-1,1,7.50679
-1.16,17,7.522963
-1.01,2,7.525835
-1,1,7.52765
-1.01,2,7.53036
-0.19,20,7.546505
-0.21,22,7.569005
-1.08,9,7.579363
-1.07,8,7.590673
-0.28,29,7.621588
-1,1,7.623727
-1.12,13,7.635697
-1,1,7.637846
-1,1,7.640115
-1.01,2,7.643086
-0.28,29,7.672841
-1.14,15,7.69098
-1.02,3,7.696313
-1.14,15,7.713534
-1,1,7.715876
-1,1,7.718057
-1,1,7.720025
-1.02,3,7.723804
-0.33,34,7.751701
-0.33,34,7.778855
-1.17,18,7.797379
-1,1,7.799423
-1.02,3,7.804767
-1,1,7.806929
-1.04,5,7.81183
-1,1,7.813996
-0.21,22,7.832778
-1.07,8,7.843897
-1.11,12,7.855389
-0.26,27,7.877037
-1.04,5,7.881946
-1,1,7.883965
-1.01,2,7.88695
-1.04,5,7.891851
-1,1,7.894141
-0.16,17,7.908612
-1.01,2,7.911551
-1.02,3,7.914932
-1.15,16,7.930858
-1.2,21,7.951512
-0.28,29,7.978702
-0.24,25,8.004391
-0.39,40,8.040748
-1.02,3,8.044415
-0.23,24,8.06515
-1.01,2,8.068053
-1.02,3,8.071896
-1.03,4,8.079648
-1.03,4,8.084001
-1,1,8.086408
-0.19,20,8.105666
-1.02,3,8.109501
-1.04,5,8.114512
-1.04,5,8.119558
-1.16,17,8.14201
-1,1,8.144223
-1.01,2,8.146859
-0.21,22,8.163491
-1.1,11,8.175962
-1.01,2,8.178841
-1,1,8.180692
-1,1,8.183046
-1,1,8.185198
-0.33,34,8.212799
-1,1,8.214546
-0.23,24,8.240323
-1.02,3,8.24383
-1.06,7,8.251428
-1.15,16,8.268208
-1.02,3,8.271827
-1.12,13,8.28823
-1.01,2,8.290859
-1,1,8.293064
-1.02,3,8.296722
-1.16,17,8.316721
-1.01,2,8.319046
-1.22,23,8.340668
-0.28,29,8.365726
-0.37,38,8.40179
-0.26,27,8.429667
-0.32,33,8.458938
-1,1,8.460771
-0.32,33,8.48964
-1,1,8.491774
-1.01,2,8.494735
-1.03,4,8.500675
-1.22,23,8.522352
-1.08,9,8.531052
-1.07,8,8.538162
-1,1,8.540406
-1,1,8.54276
-0.25,26,8.563616
-1.02,3,8.5672
-1,1,8.56937
-1.1,11,8.583391
-0.18,19,8.602036
-1.04,5,8.608608
-1.05,6,8.61466
-0.28,29,8.641663
-0.22,23,8.662384
-0.33,34,8.692076
-1.06,7,8.702036
-1.01,2,8.706208
-0.26,27,8.730948
-1.06,7,8.740292
-1.19,20,8.758346
-0.34,35,8.79129
-1,1,8.793442
-0.32,33,9.555944
-0.37,38,9.584826
-1,1,9.587236
-1.1,11,9.600517
-1,1,9.602324
-1.06,7,9.612678
-1.11,12,9.626739
-0.22,23,9.648815
-0.26,27,9.676242
-0.58,59,9.726473
-0.34,35,9.760106
-0.32,33,9.791827
-1,1,9.793906
-0.22,23,9.814854
-1.11,12,9.82779
-0.24,25,9.850657
-0.34,35,9.880119
-0.24,25,9.904381
-0.25,26,9.928119
-1,1,9.930373
-1.01,2,9.933115
-1.03,4,9.937407
-1.02,3,9.941486
-0.26,27,9.961771
-0.25,26,9.982597
-1.09,10,9.997147
-1.01,2,9.999729
-0.35,36,10.029889
-1,1,10.032074
-0.28,29,10.059154
-0.44,45,10.097389
-0.36,37,10.130274
-1.03,4,10.134403
-1.1,11,10.150608
-1.12,13,10.165697
-1.15,16,10.180748
-0.21,22,10.201966
-1.01,2,10.204915
-1.04,5,10.209822
-1.04,5,10.215455
-1.14,15,10.227484
-1.01,2,10.230226
-1.02,3,10.233952
-1.19,20,10.252207
-1.14,15,10.26568
-0.23,24,10.286401
-1.15,16,10.306276
-1,1,10.308177
-1.25,26,10.332387
-1,1,10.334527
-1,1,10.336792
-1.01,2,10.339744
-1.01,2,10.342746
-0.23,24,10.362939
-1.06,7,10.372981
-1.04,5,10.377634
-1.13,14,10.392646
-1.11,12,10.404855
-1.11,12,10.415825
-1.01,2,10.41846
-1,1,10.420637
-1.01,2,10.423134
-1,1,10.425384
-1,1,10.42748
-1.12,13,10.442416
-1.09,10,10.4524
-1.03,4,10.456698
-0.28,29,10.480285
-1.05,6,10.486136
-1.03,4,10.49083
-1.04,5,10.495824
-1.13,14,10.513151
-1,1,10.51551
-1.1,11,10.526296
-1,1,10.528624
-1.02,3,10.532349
-0.18,19,10.549142
-1.19,20,10.567374
-1.03,4,10.571519
-1,1,10.573573
-1.04,5,10.578521
-1.15,16,10.597901
-1.15,16,10.611127
-1.12,13,10.626312
-1,1,10.62864
-1.01,2,10.631944
-1.05,6,10.641312
-1.01,2,10.645906
-1,1,10.64827
-0.18,19,10.663463
-1.05,6,10.669289
-0.46,47,10.70558
-1.02,3,10.709054
-1.02,3,10.712573
-1.1,11,10.723032
-1.03,4,10.727181
-1.01,2,10.730175
-1,1,10.731972
-0.14,15,10.746984
-0.26,27,10.773855
-0.26,27,10.800831
-1.03,4,10.806685
-0.21,22,10.823666
-0.2,21,10.842177
-1.03,4,10.847029
-0.22,23,10.867676
-0.24,25,10.891143
-1.12,13,10.903333
-1.02,3,10.90732
-0.23,24,10.929245
-1.02,3,10.933118
-1.01,2,10.936442
-1.05,6,10.943456
-1.02,3,10.947157
-1.02,3,10.950958
-0.24,25,10.972529
-1.15,16,10.99193
-0.19,20,11.00988
-1,1,11.01209
-1,1,11.014507
-0.22,23,11.034958
-0.15,16,11.049762
-1.15,16,11.066273
-1,1,11.068315
-1,1,11.070598
-1.01,2,11.073616
-0.19,20,11.092812
-0.23,24,11.114013
-0.19,20,11.13162
-1.01,2,11.134313
-1.06,7,11.142168
-0.36,37,11.178474
-1,1,11.18095
-1.17,18,11.197497
-1.16,17,11.215118
-1,1,11.217315
-0.18,19,11.233279
-1,1,11.235581
-1.2,21,11.254049
-0.26,27,11.276807
-1.13,14,11.291099
-1.05,6,11.296829
-1.04,5,11.301766
-0.21,22,11.320273
-0.26,27,11.341929
-1,1,11.343597
-1.03,4,11.347519
-1,1,11.349772
-0.27,28,11.372788
-1.03,4,11.377385
-1.08,9,11.389249
-0.34,35,11.425907
-1.03,4,11.430521
-1,1,11.432841
-1,1,11.435056
-1.08,9,11.444366
-0.24,25,11.467526
-1.05,6,11.475363
-0.22,23,11.498402
-1.23,24,12.286842
-0.26,27,12.310669
-0.16,17,12.324061
-0.38,39,12.355936
-0.41,42,12.393936
-1.05,6,12.401088
-1.03,4,12.405571
-1.02,3,12.409329
-1.01,2,12.412373
-0.24,25,12.438459
-0.17,18,12.453273
-1.17,18,12.471287
-1,1,12.473493
-1,1,12.475571
