#{"t_start": 1627294000.7094872, "env_id": null}
r,l,t
-1.01,2,2.319751
-1.01,2,2.323796
-1,1,2.32596
-1.03,4,2.330585
-1,1,2.332987
-1.01,2,2.336075
-1.04,5,2.343689
-1,1,2.345787
-1.02,3,2.349412
-1.08,9,2.360643
-1,1,2.362899
-1,1,2.364977
-1.04,5,2.371167
-1.04,5,2.376091
-1.01,2,2.380488
-1.02,3,2.384232
-1.06,7,2.392299
-1.06,7,2.403016
-1.17,18,2.430896
-1.04,5,2.438442
-1.09,10,2.448559
-1.02,3,2.452951
-1.07,8,2.464491
-1,1,2.466712
-1,1,2.468701
-1.05,6,2.476861
-1.07,8,2.485424
-1.01,2,2.488236
-1.16,17,2.505484
-1.02,3,2.510907
-1.02,3,2.515833
-1,1,2.517846
-1.02,3,2.521815
-1.01,2,2.524954
-1.01,2,2.529272
-1.02,3,2.533828
-1,1,2.535826
-1.02,3,2.539396
-1.02,3,2.54433
-1.01,2,2.547415
-1.02,3,2.551095
-1.06,7,2.559027
-1.03,4,2.565418
-1.01,2,2.569494
-1.02,3,2.573015
-1.01,2,2.577245
-1,1,2.579198
-1.05,6,2.58763
-1.02,3,2.59133
-1.01,2,2.594262
-1.01,2,2.597182
-1.07,8,2.606522
-1,1,2.608763
-1.02,3,2.612379
-1.08,9,2.623981
-1,1,2.62614
-1.03,4,2.63323
-1.02,3,2.637
-1.04,5,2.642983
-1.02,3,2.646769
-1.05,6,2.655044
-1.03,4,2.660911
-1,1,2.663069
-1.05,6,2.67214
-1.01,2,2.676838
-1.03,4,2.682311
-1.03,4,2.687839
-1.01,2,2.690825
-1.09,10,2.707917
-1.05,6,2.71629
-1.02,3,2.719887
-1,1,2.721912
-1.01,2,2.725812
-1.02,3,2.729957
-1.04,5,2.736244
-1,1,2.738282
-1.1,11,2.750332
-1.01,2,2.754954
-1.03,4,2.75918
-1,1,2.76164
-1.01,2,2.764704
-1.02,3,2.768478
-1.09,10,2.779028
-1.13,14,2.796035
-1.03,4,2.801327
-1.03,4,2.808836
-1.04,5,3.603234
-1.01,2,3.606519
-1.19,20,3.640389
-1.01,2,3.645415
-1.01,2,3.649064
-1,1,3.652068
-1.05,6,3.664425
-1.02,3,3.671686
-1.02,3,3.679872
-1.14,15,3.694825
-1.08,9,3.710484
-1.04,5,3.719412
-1.09,10,3.731087
-1,1,3.73346
-1.12,13,3.74969
-1.2,21,3.772671
-1.02,3,3.776914
-1,1,3.779593
-1.05,6,3.789604
-1.02,3,3.796387
-1,1,3.799089
-1.09,10,3.813697
-1.02,3,3.820219
-1,1,3.822876
-1.19,20,3.849359
-1.05,6,3.860863
-1.08,9,3.874098
-1.1,11,3.896289
-1.04,5,3.906787
-1.17,18,3.927147
-1,1,3.930082
-1.11,12,3.943995
-1.08,9,3.958411
-1.01,2,3.962234
-1.09,10,3.976545
-1,1,3.979544
-1.01,2,3.984951
-1.2,21,4.013606
-1.03,4,4.02194
-1.09,10,4.039552
-1,1,4.04234
-1.02,3,4.047755
-1.01,2,4.050994
-1.04,5,4.060457
-1.02,3,4.066716
-1.12,13,4.082182
-1.11,12,4.101746
-1.04,5,4.112368
-1.04,5,4.120358
-1.02,3,4.126375
-1.05,6,4.138504
-1,1,4.140856
-1.07,8,4.154074
-1.1,11,4.174599
-1.09,10,4.192135
-1.3,31,4.222936
-1.19,20,4.254981
-1.08,9,4.268561
-1.11,12,4.288387
-1.01,2,4.294333
-1.01,2,4.297348
-1,1,4.300439
-1.14,15,4.319175
-1,1,4.321969
-1.03,4,4.330644
-1.11,12,4.346373
-1.1,11,4.357905
-1.02,3,4.366106
-1.01,2,4.369154
-1.04,5,4.378152
-1.04,5,4.386728
-1.06,7,4.396708
-1.26,27,4.422278
-1.01,2,4.425585
-1.02,3,4.429718
-1.04,5,4.437446
-1.04,5,4.444904
-1,1,4.447205
-1.01,2,4.45281
-1.07,8,4.465285
-1.13,14,4.483282
-1,1,4.485453
-1.04,5,4.493055
-1.02,3,4.496532
-1.1,11,4.507723
-1.02,3,4.512503
-1.14,15,4.529656
-1,1,4.531859
-1.05,6,4.539203
-1,1,4.541237
-1,1,4.543295
-1.08,9,4.554475
-1.04,5,4.561383
-1,1,4.5632
-1.04,5,4.570101
-1,1,4.571948
-1.09,10,4.580602
-1.05,6,4.588482
-1.01,2,4.592581
-1,1,4.594196
-1.07,8,4.602494
-1.02,3,4.606471
-1.13,14,4.6243
-1,1,4.626397
-1,1,4.62873
-1,1,4.631254
-1.01,2,4.635486
-1,1,4.637829
-1,1,4.640141
-1.09,10,4.650006
-1,1,4.652269
-1,1,4.654033
-1.05,6,4.659531
-1,1,4.661696
-1,1,4.663839
-1.1,11,4.673336
-1,1,4.674991
-1.15,16,4.691454
-1.15,16,4.713084
-1.02,3,4.718261
-1.01,2,4.721581
-1.22,23,4.744629
-1.17,18,4.761256
-1.02,3,4.765826
-1.09,10,4.776282
-1.02,3,4.781552
-1.03,4,4.785361
-1,1,4.787321
-1.02,3,4.793315
-1.01,2,4.797154
-1,1,4.799457
-1.04,5,4.808665
-1,1,4.810801
-1.13,14,4.822333
-1.03,4,4.827896
-1,1,4.830074
-1.09,10,4.838682
-1.12,13,4.85258
-1.21,22,4.879594
-1,1,4.881877
-1,1,4.88377
-1.02,3,4.888121
-1.09,10,4.897985
-1.01,2,4.900984
-1.17,18,4.917601
-1,1,4.91976
-1.05,6,4.929258
-1.07,8,4.938734
-1.02,3,4.943319
-1.01,2,4.947456
-1.07,8,4.956759
-1.14,15,4.97014
-1.02,3,4.97486
-1.05,6,4.98101
-1.06,7,4.98963
-1.17,18,5.010482
-1.03,4,5.016077
-1.02,3,5.02071
-1.12,13,5.039026
-1,1,5.0411
-1.12,13,5.053868
-1,1,5.056097
-1.01,2,5.060139
-1.02,3,5.063752
-1.03,4,5.067816
-1.12,13,5.082034
-1.04,5,5.087549
-1,1,5.089719
-1.05,6,5.096562
-1,1,5.098799
-1.13,14,5.116585
-1.19,20,5.135954
-1.01,2,5.138689
-1.01,2,5.142868
-1,1,5.144919
-1,1,5.147128
-1.03,4,5.155215
-1.15,16,5.175013
-1,1,5.177197
-1.04,5,5.182103
-1.03,4,5.186455
-1.01,2,5.189864
-1,1,5.19182
-1.12,13,5.205891
-1.01,2,5.208533
-1.04,5,5.213282
-1,1,5.21536
-1.01,2,5.21905
-1,1,5.221148
-1.05,6,5.230609
-1.04,5,5.238003
-1.02,3,5.241724
-1.13,14,5.256917
-1.04,5,5.263318
-1.01,2,5.266045
-1.22,23,5.287582
-1.3,31,5.323356
-1.08,9,5.335772
-1.19,20,5.360027
-1.09,10,5.37323
-1.06,7,5.380203
-1.07,8,5.389837
-1,1,5.392075
-1,1,5.39423
-1.12,13,5.407404
-1.05,6,5.414069
-1,1,5.416241
-1,1,5.418419
-1,1,5.420255
-1,1,5.422403
-1,1,5.424443
-1,1,5.426449
-1.11,12,5.440669
-1.02,3,5.445299
-1.04,5,5.451411
-1,1,5.453506
-1.07,8,5.461736
-1.11,12,5.476413
-1,1,5.478186
-1.01,2,5.481021
-1.01,2,5.484781
-1.01,2,5.488642
-1.03,4,5.492554
-1.01,2,5.495085
-1.14,15,5.508947
-1.01,2,5.511349
-1.25,26,5.531153
-1.12,13,5.545603
-1.07,8,5.555383
-1.01,2,5.559406
-1.07,8,5.568453
-1,1,5.570194
-1.29,30,5.595213
-1.1,11,5.606697
-1.15,16,5.626624
-1,1,5.628612
-1.1,11,5.63779
-1.11,12,5.64924
-1.01,2,5.651978
-1.14,15,5.664513
-1.04,5,5.671676
-1,1,5.673923
-1.06,7,5.682874
-1,1,5.68483
-1.03,4,5.690161
-1.02,3,5.69539
-1.07,8,5.705364
-1.03,4,5.710326
-1.07,8,5.719687
-1.02,3,5.723522
-1.28,29,5.745987
-1.07,8,5.754966
-1.08,9,5.767303
-1.02,3,5.770849
-1.06,7,5.77847
-1.11,12,5.793787
-1.01,2,5.79775
-1,1,5.799923
-1.13,14,5.815352
-1.03,4,5.822367
-1.01,2,5.825018
-1,1,5.82706
-1,1,5.829332
-1.06,7,5.836888
-1.02,3,5.842054
-1.1,11,5.854755
-1,1,5.856815
-1.04,5,5.863039
-1.02,3,5.866369
-1.05,6,5.875234
-1.08,9,5.883922
-1,1,5.885892
-1.04,5,5.892622
-1.02,3,5.897871
-1.2,21,5.922514
-1,1,5.924382
-1.04,5,5.931378
-1.13,14,5.948399
-1.2,21,5.975656
-1,1,5.977865
-1.02,3,5.981466
-1.04,5,5.986859
-1,1,5.988887
-1.14,15,6.007314
-1,1,6.009254
-1.01,2,6.013541
-1,1,6.01574
-1.09,10,6.025652
-1.02,3,6.030678
-1.02,3,6.034561
-1.01,2,6.037295
-1.08,9,6.052876
-1.18,19,6.071491
-1.23,24,6.097366
-1.04,5,6.103123
-1,1,6.104958
-1.03,4,6.112185
-1.19,20,6.12866
-1,1,6.130733
-1.03,4,6.135722
-1.14,15,6.157659
-1.03,4,6.163397
-1.1,11,6.176398
-1,1,6.17851
-1.11,12,6.191721
-1.08,9,6.200994
-1.07,8,6.210512
-1.09,10,6.223175
-1.03,4,6.227583
-1.01,2,6.230318
-1.02,3,6.96423
-1.06,7,6.972962
-1.1,11,6.98434
-1.1,11,6.994438
-1.12,13,7.007725
-1.07,8,7.020568
-1.11,12,7.033985
-1.15,16,7.050552
-1.25,26,7.07431
-1.03,4,7.078514
-1.01,2,7.082822
-1.09,10,7.093177
-1.03,4,7.10112
-1.01,2,7.104501
-1.21,22,7.132322
-1.05,6,7.140328
-1,1,7.142595
-1.09,10,7.152143
-1.07,8,7.163394
-1.07,8,7.170371
-1.04,5,7.175323
-1,1,7.177463
-1.03,4,7.183539
-1.09,10,7.195644
-1.01,2,7.199448
-1.01,2,7.203456
-1,1,7.205288
-1.1,11,7.217732
-1.17,18,7.240824
-1.01,2,7.243948
-1.13,14,7.26102
-1.07,8,7.27015
-1.05,6,7.279061
-1.03,4,7.284057
-1.18,19,7.304604
-1.01,2,7.308944
-1.22,23,7.332295
-1.2,21,7.352672
-1.03,4,7.357071
-1.12,13,7.374969
-1,1,7.376983
-1.2,21,7.396286
-1.08,9,7.407212
-1.19,20,7.429432
-1.4,41,7.463963
-1.06,7,7.47137
-1,1,7.473255
-1.18,19,7.491028
-1,1,7.492979
-1.13,14,7.508173
-1.28,29,7.53224
-1.12,13,7.546895
-1.14,15,7.567315
-1.23,24,7.596167
-1,1,7.598465
-1.02,3,7.601949
-1.03,4,7.607687
-1.02,3,7.61241
-1.06,7,7.621043
-1.36,37,7.652885
-1.17,18,7.669782
-1.1,11,7.683237
-1.1,11,7.698493
-1.01,2,7.701537
-1.16,17,7.720932
-1.19,20,7.738938
-1.2,21,7.758742
-1.1,11,7.771708
-1.04,5,7.779324
-1,1,7.781608
-1.18,19,7.798629
-1.08,9,7.809276
-1.12,13,7.827505
-1.01,2,7.831543
-1.01,2,7.836109
-1.29,30,7.863732
-1.18,19,7.881391
-1.07,8,7.88972
-1,1,7.891472
-1.06,7,7.90185
-1.05,6,7.913236
-1.01,2,7.917154
-1.02,3,7.921269
-1.1,11,7.937193
-1.05,6,7.943859
-1.04,5,7.952889
-1.06,7,7.961261
-1.09,10,7.972964
-1.12,13,7.988558
-1.12,13,8.004673
-1.04,5,8.010913
-1.31,32,8.037519
-1.13,14,8.051206
-1.26,27,8.081067
-1.16,17,8.102277
-1.13,14,8.119997
-1.06,7,8.127687
-1.37,38,8.160158
-1.14,15,8.176326
-1.02,3,8.18052
-1.05,6,8.187295
-1.14,15,8.204113
-1.15,16,8.225157
-1.04,5,8.229829
-1,1,8.231748
-1.14,15,8.248282
-1.27,28,8.285001
-1,1,8.287244
-1.02,3,8.290942
-1.08,9,8.300175
-1.01,2,8.302954
-1.07,8,8.313433
-1.14,15,8.328792
-1.06,7,8.341936
-1.05,6,8.348918
-1.22,23,8.370223
-1.12,13,8.383439
-1,1,8.385658
-1.2,21,8.405115
-1.05,6,8.414826
-1.14,15,8.431764
-1.15,16,8.450227
-1.12,13,8.463284
-1,1,8.46522
-1.18,19,8.484622
-1.09,10,8.49682
-1.08,9,8.504373
-1.02,3,8.510113
-1.07,8,8.519587
-1.11,12,8.535501
-1.07,8,8.545931
-1.43,44,8.590626
-1.06,7,8.597546
-1.17,18,8.622417
-1,1,8.624444
-1.07,8,8.63335
-1.1,11,8.6484
-1.29,30,8.674385
-1.26,27,8.696952
-1.03,4,8.701154
-1.01,2,8.704459
-1.09,10,8.719397
-1.01,2,8.723268
-1.13,14,8.740926
-1.02,3,8.744814
-1.31,32,8.770288
-1.15,16,8.789918
-1.06,7,8.79968
-1.11,12,8.813274
-1.21,22,8.836124
-1.02,3,8.840776
-1.08,9,8.853373
-1.09,10,8.865144
-1.18,19,8.884711
-1.06,7,8.89446
-1.02,3,8.899766
-1.11,12,8.918231
-1.27,28,8.9409
-1.2,21,8.961184
-1.04,5,8.968392
-1.19,20,8.992198
-1.16,17,9.015914
-1.1,11,9.027334
-1.02,3,9.030683
-1.09,10,9.041578
-1.1,11,9.053134
-1.03,4,9.058559
-1.24,25,9.089018
-1.24,25,9.112608
-1.08,9,9.125448
-1.05,6,9.133635
-1.04,5,9.139348
-1.03,4,9.144539
-1.02,3,9.148407
-1.05,6,9.155149
-1.05,6,9.162547
-1.01,2,9.166056
-1.17,18,9.183751
-1.11,12,9.195364
-1.01,2,9.199098
-1.02,3,9.203837
-1.15,16,9.220605
-1.23,24,9.246427
-1.03,4,9.251607
-1.14,15,9.984926
-1.39,40,10.020972
-1.75,76,10.073546
-1.01,2,10.077416
-1.19,20,10.094983
-1.06,7,10.102383
-1.23,24,10.123007
-1.2,21,10.14205
-1.16,17,10.156666
-1.02,3,10.162565
-1.48,49,10.200643
-1.12,13,10.215713
-1.07,8,10.224331
-1.11,12,10.235291
-1.1,11,10.247004
-1.18,19,10.264081
-1.24,25,10.285463
-1.19,20,10.309153
-1.02,3,10.312968
-1.24,25,10.337454
-1.08,9,10.348865
-1.5,51,10.385592
-1.11,12,10.396239
-1.1,11,10.409244
-1.05,6,10.416151
-1.35,36,10.450126
-1.33,34,10.477576
-1.22,23,10.500013
-1.13,14,10.514836
-1.15,16,10.533099
-1.3,31,10.560694
-1,1,10.562531
-1.01,2,10.566562
-1.38,39,10.595966
-1.4,41,10.626953
-1,1,10.629112
-1.06,7,10.637367
-1.07,8,10.646481
-1.07,8,10.658591
-1,1,10.660716
-1.01,2,10.663555
-1.24,25,10.691119
-1.15,16,10.704932
-1.29,30,10.732316
-1,1,10.734303
-1.13,14,10.750368
-1.15,16,10.766514
-1.27,28,10.792819
-1.12,13,10.807852
-1.17,18,10.828144
-1.18,19,10.845492
-1.07,8,10.854674
-1.18,19,10.87308
-1.12,13,10.885229
-1.06,7,10.893817
-1,1,10.895561
-1.06,7,10.903072
-1.02,3,10.907545
-1,1,10.90957
-1.15,16,10.9274
-1.02,3,10.931895
-1.4,41,10.970958
-1.03,4,10.977386
-1.02,3,10.981845
-1.31,32,11.014591
-1.35,36,11.045267
-1.11,12,11.058319
-1.27,28,11.084202
-1.14,15,11.103057
-1.02,3,11.107968
-1.28,29,11.134242
-1.26,27,11.159398
-1,1,11.16142
-1.17,18,11.176498
-1.06,7,11.182672
-1.03,4,11.189108
-1.15,16,11.203765
-1.06,7,11.212243
-1.14,15,11.224924
-1.23,24,11.247105
-1,1,11.249091
-1.06,7,11.257384
-1.03,4,11.261404
-1.02,3,11.264975
-1.17,18,11.282602
-1.02,3,11.287354
-1,1,11.289497
-1.04,5,11.297721
-1.4,41,11.330423
-1.04,5,11.337819
-1.11,12,11.351515
-1.21,22,11.379222
-1.08,9,11.391696
-1.28,29,11.415194
-1.07,8,11.423315
-1.06,7,11.430953
-1.05,6,11.437053
-1.15,16,11.453093
-1.05,6,11.460873
-1.14,15,11.474885
-1.18,19,11.496543
-1.11,12,11.508087
-1.28,29,11.534526
-1.4,41,11.568112
-1.12,13,11.582241
-1.2,21,11.599456
-1.03,4,11.605035
-1.02,3,11.608518
-1.15,16,11.621327
-1.85,86,11.681949
-1.06,7,11.688153
-1.02,3,11.691749
-1.02,3,11.696784
-1.01,2,11.700721
-1.12,13,11.713644
-1.08,9,11.725723
-1.14,15,11.742565
-1.25,26,11.766449
-1.07,8,11.774962
-1.08,9,11.786167
-1.23,24,11.809321
-1.14,15,11.825122
-1.19,20,11.847318
-1.09,10,11.858222
-1.23,24,11.880357
-1.12,13,11.892248
-1.03,4,11.898017
-1.28,29,11.920009
-1.13,14,12.659292
-1.11,12,12.672028
-1.09,10,12.684033
-1.54,55,12.732246
-1.25,26,12.754101
-1.09,10,12.763639
-1.26,27,12.791735
-1.24,25,12.824585
-1.11,12,12.83942
-1.27,28,12.863668
-1.3,31,12.890396
-1.18,19,12.910174
-1,1,12.912201
-1.26,27,12.937397
-1.54,55,12.982185
-1.18,19,13.000562
-1.1,11,13.01516
-1.39,40,13.04459
-1.06,7,13.055462
-1.04,5,13.062826
-1.07,8,13.071404
-1.19,20,13.091403
-1.07,8,13.101748
-1.01,2,13.104941
-1.14,15,13.121008
-1.72,73,13.177571
-1.01,2,13.180088
-1.37,38,13.213384
-1.43,44,13.248976
-1,1,13.251029
-1.15,16,13.268142
-1.48,49,13.30947
-1.21,22,13.329126
-1.1,11,13.339449
-1.22,23,13.361439
-1.02,3,13.367706
-1.53,54,13.413699
-1.17,18,13.436351
-1.03,4,13.442825
-1.01,2,13.445834
-1.1,11,13.457507
-1.12,13,13.472692
-1.33,34,13.501978
-1.19,20,13.523372
-1.09,10,13.538714
-1.01,2,13.541518
-1.44,45,13.579366
-1.27,28,13.603688
-1.13,14,13.620851
-1.09,10,13.633202
-1.41,42,13.666751
-1.1,11,13.680724
-1.04,5,13.685889
-1.21,22,13.7091
-1.11,12,13.71989
