#{"t_start": 1627294000.7094872, "env_id": null}
r,l,t
-1.01,2,0.015044
-1.04,5,0.02497
-1.01,2,0.029295
-1,1,0.031391
-1.04,5,0.036373
-1.01,2,0.039314
-1,1,0.041874
-1.03,4,0.047092
-1.02,3,0.051053
-1.02,3,0.054898
-1.01,2,0.057812
-1.07,8,0.067476
-1.03,4,0.073488
-1.02,3,0.077087
-1.01,2,0.080131
-1.01,2,0.084181
-1.04,5,0.089838
-1.03,4,0.095116
-1.09,10,0.106767
-1.01,2,0.109564
-1,1,0.111307
-1,1,0.113266
-1.03,4,0.119559
-1.02,3,0.122732
-1.01,2,0.125485
-1,1,0.127414
-1.02,3,0.13202
-1.1,11,0.14421
-1.02,3,0.148205
-1.01,2,0.150995
-1.01,2,0.153973
-1.06,7,0.161464
-1,1,0.163638
-1.09,10,0.173286
-1,1,0.175853
-1,1,0.178068
-1.01,2,0.181043
-1.01,2,0.183888
-1,1,0.185919
-1.06,7,0.192856
-1,1,0.195145
-1.01,2,0.198066
-1,1,0.20053
-1.05,6,0.207261
-1.01,2,0.210367
-1.04,5,0.217625
-1.01,2,0.220546
-1.03,4,0.224803
-1.01,2,0.227658
-1.04,5,0.234084
-1,1,0.236205
-1.03,4,0.240499
-1.02,3,0.243907
-1.01,2,0.246654
-1.04,5,0.254061
-1.05,6,0.261449
-1.02,3,0.265006
-1.04,5,0.271684
-1.01,2,0.274635
-1.06,7,0.285745
-1.01,2,0.288566
-1.05,6,0.29441
-1.07,8,0.304682
-1,1,0.30663
-1.05,6,0.312936
-1.18,19,0.330706
-1.03,4,0.338595
-1,1,0.340664
-1.08,9,0.350415
-1.03,4,0.357119
-1.01,2,0.359739
-1.03,4,0.364609
-1.02,3,0.369225
-1.07,8,0.379014
-1.02,3,0.384205
-1.03,4,0.389519
-1.04,5,0.398002
-1.03,4,0.40494
-1,1,0.406732
-1.02,3,0.41029
-1.01,2,0.414124
-1.01,2,0.417072
-1.04,5,0.422031
-1.06,7,0.430524
-1,1,0.432387
-1,1,0.434342
-1.02,3,0.438748
-1.04,5,0.447369
-1.07,8,0.456495
-1.07,8,0.465431
-1,1,0.46763
-1.01,2,0.470315
-1.02,3,0.47365
-1.01,2,0.476421
-1.02,3,0.482136
-1.01,2,0.48471
-1.02,3,0.489254
-1,1,0.491685
-1.02,3,0.496479
-1.01,2,0.499342
-1,1,0.501381
-1,1,0.503898
-1.04,5,0.508843
-1.04,5,0.516961
-1,1,0.519835
-1.01,2,0.524252
-1.07,8,0.534302
-1.02,3,0.53871
-1.07,8,0.54896
-1.01,2,0.552175
-1.11,12,0.567372
-1.04,5,0.572923
-1.01,2,0.575612
-1.04,5,0.581483
-1,1,0.583498
-1,1,0.585511
-1.04,5,0.592056
-1.05,6,0.600026
-1.09,10,0.608053
-1.02,3,0.61163
-1.02,3,0.616157
-1,1,0.618288
-1.02,3,0.62272
-1.01,2,0.625584
-1.01,2,0.62824
-1,1,0.629949
-1,1,0.632075
-1.05,6,0.639085
-1,1,0.641368
-1.04,5,0.646176
-1,1,0.648308
-1.01,2,0.652243
-1.01,2,0.655188
-1.05,6,0.664099
-1.05,6,0.672079
-1.05,6,0.679071
-1.02,3,0.68527
-1,1,0.687193
-1.03,4,0.692523
-1.01,2,0.695377
-1.02,3,0.699057
-1,1,0.701271
-1.01,2,0.704241
-1,1,0.706424
-1.01,2,0.709271
-1.13,14,0.721951
-1.11,12,0.734323
-1,1,0.736413
-1.01,2,0.739368
-1.02,3,0.743125
-1.04,5,0.750519
-1.08,9,0.760717
-1.02,3,0.764044
-1.04,5,0.770351
-1.07,8,0.780623
-1.07,8,0.79001
-1.07,8,0.796948
-1.1,11,0.808882
-1.01,2,0.81194
-1.11,12,0.827271
-1,1,0.829296
-1.04,5,0.835679
-1,1,0.838108
-1,1,0.840079
-1.03,4,0.844703
-1.01,2,0.847632
-1.06,7,0.854961
-1.16,17,0.876202
-1.01,2,0.879224
-1.02,3,0.883002
-1.02,3,0.888165
-1,1,0.890252
-1,1,0.892532
-1.01,2,0.895227
-1.02,3,0.898551
-1,1,0.900564
-1.05,6,0.907011
-1,1,0.909185
-1.02,3,0.912902
-1.02,3,0.91743
-1.01,2,0.920531
-1.02,3,0.92489
-1.02,3,0.929623
-1.01,2,0.933797
-1,1,0.935829
-1.01,2,0.939682
-1.02,3,0.943075
-1.03,4,0.949346
-1.07,8,0.957301
-1.01,2,0.960127
-1,1,0.962287
-1.02,3,0.966964
-1,1,0.968912
-1.1,11,0.980117
-1,1,0.982416
-1.02,3,0.986172
-1.02,3,0.989884
-1.02,3,0.994433
-1.02,3,0.997894
-1.03,4,1.005664
-1.05,6,1.012104
-1,1,1.0139
-1.02,3,1.019181
-1.08,9,1.032842
-1.05,6,1.050157
-1.01,2,1.054282
-1.04,5,1.07089
-1.13,14,1.090416
-1.05,6,1.0968
-1.01,2,1.09977
-1,1,1.102123
-1.14,15,1.12341
-1.08,9,1.134745
-1.08,9,1.14303
-1.11,12,1.153941
-1,1,1.156214
-1.01,2,1.160798
-1.01,2,1.164924
-1.05,6,1.173645
-1.04,5,1.180034
-1.01,2,1.182951
-1.02,3,1.187603
-1.02,3,1.191058
-1.08,9,1.20267
-1,1,1.204787
-1,1,1.207063
-1.01,2,1.211196
-1.02,3,1.214907
-1.01,2,1.216955
-1.05,6,1.224429
-1.03,4,1.2289
-1.01,2,1.233016
-1.03,4,1.237493
-1.01,2,1.240277
-1.03,4,1.244838
-1.06,7,1.253551
-1.02,3,1.258036
-1,1,1.260283
-1.03,4,1.268275
-1.05,6,1.274092
-1.01,2,1.277816
-1.01,2,1.280834
-1,1,1.2827
-1.05,6,1.291096
-1.05,6,1.298394
-1.01,2,1.30112
-1,1,1.303409
-1.01,2,1.30625
-1.07,8,1.317651
-1.03,4,1.322871
-1.03,4,1.328447
-1.07,8,1.337619
-1,1,1.339723
-1.07,8,1.349784
-1.17,18,1.370846
-1,1,1.372604
-1.01,2,1.375755
-1.01,2,1.378456
-1.05,6,1.385462
-1.02,3,1.388982
-1.03,4,1.395544
-1.05,6,1.402514
-1.01,2,1.405442
-1.03,4,1.410105
-1.03,4,1.415259
-1.01,2,1.418072
-1.05,6,1.424609
-1.01,2,1.427635
-1.03,4,1.432566
-1.07,8,1.443125
-1,1,1.445342
-1,1,1.447357
-1,1,1.449293
-1.02,3,1.454092
-1,1,1.456068
-1.01,2,1.460301
-1.08,9,1.471263
-1.04,5,1.478707
-1.02,3,1.482252
-1,1,1.484286
-1.06,7,1.49314
-1.04,5,1.502845
-1.01,2,1.505814
-1.02,3,1.511
-1.03,4,1.518104
-1.01,2,1.520849
-1.01,2,1.523957
-1,1,1.526087
-1.01,2,1.529162
-1.01,2,1.531828
-1.02,3,1.536937
-1.12,13,1.550795
-1.06,7,1.562381
-1.02,3,1.565769
-1.02,3,1.569707
-1,1,1.571776
-1,1,1.573436
-1,1,1.575316
-1.03,4,1.580415
-1,1,1.582888
-1.09,10,1.596935
-1,1,1.599381
-1.02,3,1.602666
-1.05,6,1.609732
-1.02,3,1.614866
-1.01,2,1.618799
-1,1,1.620751
-1.01,2,1.623447
-1.02,3,1.627956
-1.03,4,1.633988
-1,1,1.635937
-1.01,2,1.638556
-1,1,1.640738
-1.02,3,1.645472
-1.09,10,1.655661
-1.06,7,1.663877
-1.01,2,1.666644
-1,1,1.668791
-1.05,6,1.678191
-1.01,2,1.680963
-1.04,5,1.689262
-1,1,1.691215
-1.04,5,1.69666
-1.01,2,1.699667
-1,1,1.701815
-1,1,1.703648
-1.11,12,1.71619
-1.01,2,1.71941
-1,1,1.72167
-1.02,3,1.727252
-1,1,1.72944
-1.05,6,1.735231
-1,1,1.73721
-1.01,2,1.739771
-1.04,5,1.744853
-1.03,4,1.751325
-1.01,2,1.755385
-1,1,1.757108
-1,1,1.759182
-1.04,5,1.765631
-1.04,5,1.772463
-1.09,10,1.78565
-1.01,2,1.788733
-1,1,1.790967
-1,1,1.792962
-1.03,4,1.797103
-1.03,4,1.801531
-1,1,1.803694
-1,1,1.806047
-1.01,2,1.810198
-1.01,2,1.81293
-1.02,3,1.818569
-1.01,2,1.822812
-1.01,2,1.82604
-1.08,9,1.837009
-1.01,2,1.841369
-1,1,1.843668
-1.02,3,1.84819
-1.04,5,1.855196
-1.01,2,1.859675
-1.01,2,1.862436
-1.01,2,1.866259
-1.03,4,1.871631
-1.06,7,1.880603
-1.02,3,1.886214
-1.02,3,1.889838
-1,1,1.89195
-1.05,6,1.899132
-1.02,3,1.903298
-1.02,3,1.909026
-1,1,1.910818
-1,1,1.912827
-1.09,10,1.922719
-1,1,1.924899
-1.03,4,1.930772
-1,1,1.933083
-1.01,2,1.936054
-1,1,1.938273
-1.1,11,1.954263
-1.08,9,1.9646
-1.01,2,1.968651
-1.03,4,1.975341
-1.01,2,1.979074
-1.04,5,1.985878
-1.03,4,1.993684
-1,1,1.996074
-1.01,2,1.998967
-1.41,42,2.042094
-1.08,9,2.052294
-1.04,5,2.057518
-1,1,2.059762
-1.05,6,2.069611
-1.03,4,2.075092
-1.02,3,2.080116
-1.25,26,2.111654
-1,1,2.11398
-1,1,2.115872
-1.06,7,2.123502
-1.01,2,2.126872
-1.05,6,2.133592
-1,1,2.135485
-1,1,2.137692
-1,1,2.139522
-1.06,7,2.148904
-1.03,4,2.154265
-1.07,8,2.163666
-1.04,5,2.168282
-1,1,2.169994
-1,1,2.172226
-1,1,2.174434
-1,1,2.176682
-1,1,2.178653
-1,1,2.180675
-1.09,10,2.19464
-1.01,2,2.197703
-1.01,2,2.202184
-1.08,9,2.212896
-1.02,3,2.217991
-1.05,6,2.223581
-1.03,4,2.229402
-1.02,3,2.234308
-1,1,2.236389
-1.01,2,2.239285
-1.13,14,2.255629
-1.04,5,2.263316
-1.05,6,2.271629
-1.05,6,2.278539
-1,1,2.280648
-1.08,9,2.289788
-1.01,2,2.292656
-1.04,5,2.299321
-1.03,4,2.304746
-1.03,4,2.312909
-1.01,2,2.31556
